City,addresst,City_api,longt,latt
Ardabil,{},Ardabil,48.29131,38.24353
Tokyo,{},Tokyo,139.68875,35.68046
Katowice,{},Katowice,18.99499,50.24148
Brasilia,{},Brasilia,-47.97349,-15.81962
Brisbane,{},Brisbane,153.02560,-27.46950
Urmia,{},Urmia,23.20589,61.48912
Mendoza,Ciudad De Mendoza,Mendoza,-68.89916,-32.88097
Varna,Varna,Варна,27.90171,43.21661
Jiangmen,{},Jiangmen,113.08243,22.59188
Cannes,Cannes,Ceq,7.02025,43.55425
Plovdiv,Пловдив,Plovdiv,24.69771,42.09620
Hoffman Estates,{},Hoffman Estates,-88.12115,42.06565
Ufa,449 Ufa International Airport,Ufa,55.87440,54.55750
Leipzig,{},Leipzig,12.37691,51.33993
Cuiaba,{},Cuiaba,-56.06095,-15.60085
Milano,{},Milano,9.17984,45.47474
Gondomar,{},Gondomar,-8.53312,41.13974
Ningbo,{},Ningbo,121.55439,29.86667
Ottawa,{},Ottawa,-75.70531,45.35917
Novi Sad,{},Novi Sad,19.82768,45.25344
