Number,Date,Teams,Sets,Result per set (points),Result per set (points).1,Result per set (points).2,Result per set (points).3,Result per set (points).4,Points,Time,Audience,MatchNumber,City
Number,Date,Teams,Sets,1,2,3,4,5,Points,Time,Audience,,
1,31/05/2019,IRI - ITA,3 - 1,20  - 25,25  - 23,25  - 23,25  - 23,-,95 - 94,02:17,2040,1,Jiangmen
7,31/05/2019,SRB - JPN,1 - 3,17  - 25,12  - 25,26  - 24,17  - 25,-,72 - 99,01:51,750,7,Novi Sad
5,31/05/2019,USA - BRA,0 - 3,22  - 25,22  - 25,23  - 25,-,-,67 - 75,01:33,5672,5,Katowice
3,31/05/2019,CAN - BUL,1 - 3,20  - 25,24  - 26,25  - 19,17  - 25,-,86 - 95,01:44,1600,3,Mendoza
2,31/05/2019,CHN - GER,2 - 3,21  - 25,21  - 25,25  - 19,25  - 19,11  - 15,103 - 103,02:14,3130,2,Jiangmen
8,31/05/2019,FRA - RUS,3 - 1,25  - 19,25  - 22,20  - 25,25  - 23,-,95 - 89,01:53,350,8,Novi Sad
6,31/05/2019,POL - AUS,3 - 1,25  - 15,24  - 26,25  - 21,25  - 14,-,99 - 76,01:50,7916,6,Katowice
4,31/05/2019,ARG - POR,3 - 0,25  - 17,25  - 21,25  - 21,-,-,75 - 59,01:20,3000,4,Mendoza
13,01/06/2019,BRA - AUS,3 - 2,32  - 34,25  - 16,25  - 19,27  - 29,15  - 13,124 - 111,02:21,4562,13,Katowice
9,01/06/2019,ITA - GER,3 - 0,25  - 21,30  - 28,25  - 23,-,-,80 - 72,01:51,2337,9,Jiangmen
15,01/06/2019,JPN - RUS,1 - 3,22  - 25,25  - 23,19  - 25,23  - 25,-,89 - 98,02:07,425,15,Novi Sad
14,01/06/2019,USA - POL,2 - 3,25  - 17,32  - 34,28  - 26,23  - 25,9  - 15,117 - 117,02:47,8952,14,Katowice
11,01/06/2019,CAN - POR,3 - 0,25  - 20,25  - 23,25  - 16,-,-,75 - 59,01:28,2000,11,Mendoza
16,01/06/2019,SRB - FRA,1 - 3,12  - 25,22  - 25,25  - 20,20  - 25,-,79 - 95,01:44,3390,16,Novi Sad
10,01/06/2019,CHN - IRI,0 - 3,22  - 25,18  - 25,21  - 25,-,-,61 - 75,01:28,4814,10,Jiangmen
12,01/06/2019,ARG - BUL,3 - 0,25  - 16,25  - 21,25  - 23,-,-,75 - 60,01:24,4500,12,Mendoza
21,02/06/2019,AUS - USA,1 - 3,25  - 19,25  - 27,16  - 25,16  - 25,-,82 - 96,01:45,4320,21,Katowice
17,02/06/2019,GER - IRI,0 - 3,28  - 30,27  - 29,20  - 25,-,-,75 - 84,01:54,2141,17,Jiangmen
23,02/06/2019,JPN - FRA,1 - 3,22  - 25,27  - 25,19  - 25,15  - 25,-,83 - 100,01:48,595,23,Novi Sad
19,02/06/2019,POR - BUL,3 - 1,25  - 21,19  - 25,28  - 26,25  - 23,-,97 - 95,02:00,2000,19,Mendoza
22,02/06/2019,BRA - POL,3 - 1,22  - 25,25  - 15,25  - 21,25  - 17,-,97 - 78,01:55,9836,22,Katowice
24,02/06/2019,RUS - SRB,3 - 2,20  - 25,26  - 24,25  - 23,22  - 25,15  - 10,108 - 107,02:22,4250,24,Novi Sad
20,02/06/2019,ARG - CAN,1 - 3,21  - 25,27  - 29,25  - 16,24  - 26,-,97 - 96,02:08,4000,20,Mendoza
18,02/06/2019,CHN - ITA,0 - 3,21  - 25,13  - 25,24  - 26,-,-,58 - 76,01:32,4180,18,Jiangmen
29,07/06/2019,BRA - IRI,3 - 2,23  - 25,25  - 16,21  - 25,33  - 31,15  - 10,117 - 107,02:31,2100,29,Tokyo
25,07/06/2019,FRA - POL,3 - 1,28  - 26,25  - 23,24  - 26,25  - 20,-,102 - 95,01:55,2100,25,Ningbo
27,07/06/2019,ITA - USA,3 - 1,25  - 23,13  - 25,25  - 20,25  - 23,-,88 - 91,01:57,2710,27,Ufa
31,07/06/2019,GER - SRB,3 - 2,25  - 20,16  - 25,26  - 28,26  - 24,15  - 9,108 - 106,02:09,1471,31,Ottawa
28,07/06/2019,RUS - POR,3 - 0,25  - 19,25  - 22,25  - 20,-,-,75 - 61,01:22,6070,28,Ufa
30,07/06/2019,JPN - ARG,3 - 0,25  - 16,25  - 16,33  - 31,-,-,83 - 63,01:30,4200,30,Tokyo
26,07/06/2019,CHN - BUL,3 - 0,26  - 24,25  - 20,25  - 17,-,-,76 - 61,01:21,5820,26,Ningbo
32,07/06/2019,CAN - AUS,3 - 0,25  - 23,25  - 17,25  - 18,-,-,75 - 58,01:23,3013,32,Ottawa
37,08/06/2019,ARG - IRI,1 - 3,19  - 25,25  - 20,22  - 25,32  - 34,-,98 - 104,02:22,3050,37,Tokyo
33,08/06/2019,POL - BUL,3 - 1,22  - 25,25  - 19,27  - 25,25  - 20,-,99 - 89,01:56,3160,33,Ningbo
35,08/06/2019,ITA - POR,3 - 0,25  - 13,25  - 20,25  - 11,-,-,75 - 44,01:14,2770,35,Ufa
