N°,Name,Birthdate,Height,Weight,Spike,Block,World championships,Olympic games,Other,Total,Club,Country
2,Federico Pereyra,19/06/1988,200,99,335,325,9,6,127,142,Nolio Maaseik Club,arg-argentina
3,Jan Martinez Franchi,28/01/1998,190,85,333,316,0,0,0,0,BOLIVAR,arg-argentina
4,Maximiliano Cavanna,02/07/1988,188,81,333,312,0,0,28,28,UPCN San Juan Volley,arg-argentina
5,Nicolas Uriarte,21/03/1990,192,87,342,322,18,6,102,126,TAHUATE,arg-argentina
6,Cristian Poglajen,14/07/1989,195,94,342,322,0,6,97,103,GS Porto Robur Costa SSD ARL,arg-argentina
7,Facundo Conte,25/08/1989,197,88,354,334,18,6,111,135,TAHUBATE,arg-argentina
8,Agustin Loser,12/10/1997,193,77,335,310,0,0,0,0,BOLIVAR,arg-argentina
9,Santiago Danani,12/12/1995,176,77,324,309,0,0,0,0,PADOVA,arg-argentina
10,Nicolas Bruno,24/02/1989,187,85,338,318,0,6,43,49,Maliye Piyango,arg-argentina
11,Sebastian Solé,12/06/1991,200,94,362,342,18,6,111,135,Bluvolley Verona SS D a RL,arg-argentina
12,Bruno Lima,04/02/1996,198,87,345,320,0,0,0,0,TV Buhl Volleybal,arg-argentina
13,Ezequiel Palacios,02/10/1992,198,95,345,325,0,1,26,27,Top Volley SRL,arg-argentina
14,Pablo Crer,12/06/1989,202,85,357,337,9,6,101,116,Personal Bolivar,arg-argentina
15,Luciano De Cecco c,02/06/1988,191,98,332,315,18,6,180,204,Sir Safety Perugia,arg-argentina
16,Alexis Ruben Gonzalez,21/07/1981,184,85,327,310,9,6,141,156,Personal Bolívar,arg-argentina
17,Nicolas Mendez,02/11/1992,191,90,340,326,7,8,11,26,AJACCIO,arg-argentina
18,Martin Ramos,26/08/1991,197,94,348,328,9,0,15,24,UPCN San Juan Volley,arg-argentina
19,Franco Massimino,23/05/1988,177,66,310,297,0,0,0,0,OBRAS DE SAN JUAN,arg-argentina
22,Lisandro Zanotti,04/10/1990,195,88,336,315,0,0,6,6,Narbone Volley,arg-argentina
23,Joaquin Gallego,21/11/1996,204,102,343,323,0,0,0,0,UNTREFF,arg-argentina
24,German Johansen,02/09/1995,200,85,351,336,8,0,0,8,Club De Amigos,arg-argentina
25,Nicolás Lazo,16/04/1995,192,85,340,320,0,0,5,5,UPCN San Juan Volley,arg-argentina
27,Matias Giraudo,13/03/1998,196,85,330,315,0,0,0,0,River Plate,arg-argentina
29,Luciano Palonsky,08/07/1999,198,72,330,310,0,0,0,0,Club Ciudad de Buenos Aires,arg-argentina
30,Gaston Fernandez,04/08/1995,203,101,339,317,8,0,0,8,Club Ciudad De Buenos Aires,arg-argentina
1,Beau Graham,17/04/1994,202,86,351,332,8,0,99,107,Saaremaa Volleyklub,aus-australia
2,Arshdeep Dosanjh,30/07/1996,205,85,347,335,8,0,79,87,Aluron Warta Zawiercie,aus-australia
3,Steven Macdonald,26/06/1997,207,85,351,342,0,0,6,6,Orion Rotterdam,aus-australia
4,Paul Sanderson,07/01/1986,195,94,348,335,8,0,91,99,VA Centre of Excellence,aus-australia
5,Travis Passier,26/04/1989,208,100,355,340,12,5,231,248,VA Centre of Excellence,aus-australia
6,Thomas Edgar,21/06/1989,212,106,357,341,12,5,188,205,JT Thunders,aus-australia
7,Harrison Peacock,31/01/1991,192,87,353,339,9,5,145,159,VA Centre of Excellence,aus-australia
8,Trent O'dea,11/05/1994,201,98,354,344,8,0,77,85,Raison Loimu,aus-australia
9,Max Staples,27/07/1994,194,83,358,345,8,0,88,96,Hypo Tirol Alpenvolleys,aus-australia
10,Jordan Richards,25/09/1993,193,80,354,342,0,0,79,79,Hypo Tirol Alpenvolleys,aus-australia
11,Luke Perry,20/11/1995,180,75,331,315,17,0,178,195,Asseco Resovia Rzeszów,aus-australia
12,Nehemiah Mote,21/06/1993,204,91,362,354,17,0,125,142,VFB Friedrichshafen Volleyball,aus-australia
13,Samuel Walker,19/02/1995,208,90,350,337,8,0,137,145,Qatar Sports Club,aus-australia
15,Luke Smith,30/08/1990,204,95,360,342,17,5,113,135,United Volleys Frankfurt,aus-australia
16,Thomas Ewen Douglas-Powell,16/09/1992,194,82,356,332,9,0,96,105,Ajaccio,aus-australia
17,Paul Carroll c,16/05/1986,207,100,354,340,25,0,218,243,Pepperdine University,aus-australia
18,Lincoln Alexander Williams,06/10/1993,200,104,353,330,8,5,121,134,Nizhnevartovsk,aus-australia
19,Malachi Murch,04/01/1995,197,75,341,335,0,0,14,14,Nordenskov,aus-australia
21,Nicholas Butler,27/06/1997,198,95,345,333,0,0,9,9,Tourcoing Volley,aus-australia
22,Curtis Jeffrey Arthur Stockton,22/04/1993,198,94,351,330,0,0,26,26,SC Duo Tartu,aus-australia
23,James Weir,20/07/1995,204,95,348,342,0,0,21,21,TV Rottenburg,aus-australia
24,Elliott Viles,01/05/1997,193,73,360,340,0,0,27,27,University of Brandon,aus-australia
25,Jordan Colotti,07/05/1996,188,82,335,325,0,0,12,12,Nordenskov,aus-australia
26,Caleb Watson,28/06/1993,200,92,344,338,0,0,0,0,Lunds,aus-australia
30,Conal Tain Mcainsh,12/05/1997,201,95,339,332,0,0,0,0,Skopje,aus-australia
